"任务编号","阶段","任务名称","主责角色","前置任务","执行条件","基线判断","工作内容","涉及文件或对象","验收标准","完工标准","必交证据","目标证据层级","记录口径"
"CW-030","W4","逐类核验并收敛 Worker 调度和恢复","Worker负责人","CW-010、CW-002、CW-025、CW-029、CW-054、CW-055","必需；新增公平能力按CW-002范围决定","各类任务共享程度不同","保留服务端PG Worker及每类任务领取/租约/恢复；按冻结策略核验H3/独立、口播、图片、分析/文案任务的并发和公平，修复收敛导致或已确认的范围内缺口。 明确移除run_sqlite_worker_round/run_forever/--db-path的正式可达路径，开发Worker也只连接PG；不得重写已有客户公平队列。","server/app/generation_worker.py；server/app/generation.py；server/app/oral_worker.py；server/app/image_tasks.py；server/app/script_rewrite.py；server/app/script_from_audio.py","多Worker不重复领取/重复付费；迟到结果不能覆盖新lease；两设备不增加同用户并发；不同用户按各类已冻结等待阈值持续推进；关闭客户端不停止已受理任务；未知提交不会盲重提。","每种保留任务都有领取、重试、计费/非计费、失败恢复证据；跨口播完整轮转若尚未实现，不得用共享并发槽冒充，必须按范围补齐或明确限制并通过相应验收。","逐类/混合任务压测、租约和Provider请求次数、恢复记录","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-031","W4","固定云端资产存储与授权下载","存储负责人","CW-025、CW-009","必需","客户COS已具备，local兼容仍存在","客户持久资产固定私有COS；保留共用签名与撤销校验，明确本地临时处理文件可重建；关闭正式服务本地持久存储回退，旧local资产进入数据迁移清单。","server/app/storage.py；server/app/media_routes.py；server/app/media.py；server/app/rbac_routes.py；server/app/bootstrap.py","API A上传后API B/其他Worker可读；跨用户/撤销会话不能读取私有资产；签名过期有明确重获方式；COS不可用不偷偷写本地；临时文件不作为跨进程真源；成片仍按DIRECT合同交付。","资产授权、跨实例可读和故障专项通过；所有仍引用local的持久数据可追溯到CW-037，未因local函数名删除云端签名能力。","资产权限矩阵、跨节点用例、对象与临时目录检查","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-032","W4","交付可重建的后端服务与安全配置","运维负责人 + 后端负责人","CW-004、CW-019、CW-025、CW-027、CW-031、CW-056、CW-057、CW-060","必需","现有rollout依赖仓库外环境","补齐唯一默认部署的源码/镜像、锁定依赖、编排/单元、管理资源、单所有者迁移、首次管理员、PG/COS/Provider密钥配置及健康检查；将ffmpeg/ffprobe留在服务器。","deploy/；server/app/bootstrap.py；server/app/settings.py；server/app/media_tools.py；server/app/main.py；server/pyproject.toml","在空白隔离环境按交付包可重建API/Worker/管理页；缺PG、私有COS、密钥或实际所需ffmpeg/ffprobe/codec时有可定位失败；密钥不进客户包/日志；迁移单次执行，多个实例不竞争改schema。 应用/迁移/备份角色及全进程连接池预算明确；PG备份和恢复命令可用，SQLite备份timer不进入正式部署；历史operator工具独立构建并经CW-060验收。","完整部署包无需依赖未登记主机文件或旧镜像；参数、备份/轮换与健康检查文档匹配实际部署主线，明确生产环境仍需后续验收。","可重建部署日志、配置检查、媒体探测/处理样本、制品哈希","AUTOMATED_VERIFIED，真实拓扑在CW-047","规划定义；实施状态以V3账本为准"
"CW-054","W4","统一 PostgreSQL 查询、行类型与异常契约","后端负责人","CW-025、CW-053","必需","BusinessConnection仍有SQLite形状及PG空操作","每迁一个业务调用者，先将其现有持久化断言迁为或补充TEST-PG回归；缺陷/不兼容场景先红后绿，保存RED→GREEN，未有真实PG回归保护不得修改该调用者。 保留简单PG门面，逐调用者迁移SQL占位符/时间/JSON/row访问/约束异常；替换sqlite3类型引用和translator；为executemany、RETURNING、rowcount、导出/trace检查定义实际PG合同，不用空操作蒙混。","server/app/db_portable.py；server/app/generation.py；server/app/internal_billing.py；server/app/analysis.py；server/app/characters.py；server/app/media.py；server/app/","非空批量参数全部真实落库，空批无副作用；row按名称/位置及dict转换符合使用方；金额/布尔/NULL/UTC/JSON roundtrip正确；唯一/FK/check失败映射到既定业务结果且不污染连接；敏感数据检查读取实际PG结果，不能遍历空dump假通过。","所有当前业务调用者改用PG原生行为，兼容语句/SQLite类型债务核销；接口数据形状和错误响应不回归，无新ORM或多后端抽象。 每个已改调用者都须有先于实现的PG回归记录及对应提交/运行证据；CW-058/059不能被用作延后补建首批回归的理由。","调用者清单、批量/类型/异常/导出红绿用例、PG实际SQL与结果、逐调用者测试先行记录和RED→GREEN日志","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-055","W4","锁定 PG 事务、连接池与 fencing 提交边界","认证/数据库负责人 + 独立复核","CW-025、CW-009、CW-010","必需","门面commit/rollback当前故意不提交PG外层事务","每迁一个业务调用者，先将其现有持久化断言迁为或补充TEST-PG回归；缺陷/不兼容场景先红后绿，保存RED→GREEN，未有真实PG回归保护不得修改该调用者。 保持外层fenced_pg_transaction拥有提交权；核验嵌套业务调用、异常回滚、提交前会话变化、序列副作用；测试池连接借还、耗尽/超时/断连/异常事务回收与数据库服务端时钟。","server/app/db_pg.py；server/app/db_portable.py；server/app/customer_fence.py；server/app/auth.py；server/app/generation_worker.py；server/tests/test_db_pg.py；server/tests/test_customer_fencing.py","业务内部commit不提前落账；入口后session/epoch/lease变化写入0副作用；业务异常回滚完整，未提交连接不返池继续污染下一请求；超时/死锁/序列化失败按既定幂等边界处理，无重复付费；池耗尽有有界失败及脱敏日志。","PG-03测试与独立审查通过；删除SQLite兼容不能把原no-op改成中途真提交，序列变化不能被误当成可随事务回滚。 每个已改调用者都须有先于实现的PG回归记录及对应提交/运行证据；CW-058/059不能被用作延后补建首批回归的理由。","多连接竞态、提交/回滚断言、池耗尽回收日志、SQLSTATE与异常映射、逐调用者测试先行记录和RED→GREEN日志","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-056","W4","验收 PG 空库、旧库升级与最终 schema","数据库负责人 + 迁移复核","CW-025、CW-053、CW-007、CW-003","必需","历史head和空库结果不能代表当前发布","按已发版本清单冻结当前生产head/上一兼容head及其他受支持起点；用带代表数据的PG副本逐一升级到最终单head，另验空库全链；清理Alembic默认SQLite入口，显式单所有者在线迁移，原revision字节冻结。","server/migrations/env.py；server/migrations/versions/；server/scripts/sqlite_to_postgres.py；server/scripts/reconcile_customer_billing.py；server/tests/test_postgres_migrations.py；deploy/postgres/migrate.sh","空库及全部支持旧PG起点→目标成功；表/列/PK/FK/check/部分唯一索引/trigger/时间与JSON语义符合登记；owner/钱包/订单/session/任务事实一致；identity/serial/ledger下一写不碰撞；失败不留半结构或未知状态；旧兼容代码能读前向schema；非空审计降级拒绝保留。","PG-04矩阵0漏项/0失败；实际支持版本无未知head；只追加修复迁移；当前不把未验证--sql离线输出交付为可执行升级脚本。","release-head矩阵、revision哈希、schema目录对比、代表数据/约束/下一写与回滚证据","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-057","W4","统一维护、种子、管理和对账 CLI 的数据库入口","后端运维负责人","CW-025、CW-054、CW-053","必需","HTTP外仍有bootstrap/backup/CLI路径","盘点并统一所有当前业务管理/种子/对账/告警/维护/定时任务为显式PG；迁移并隔离Gate1/P0共享工具；运行身份、迁移DDL身份、备份与测试身份分开，停用SQLite备份timer。","server/scripts/；server/app/gate1_bootstrap.py；server/app/gate1_e2e.py；server/app/backup.py；scripts/；deploy/systemd/；deploy/postgres/","逐命令有效PG成功，缺/错DSN或SQLite参数拒绝；读命令不修改业务，写命令审计和幂等不退化；配置/CLI不创建SQLite；备份作业实际目标PG且日志脱敏；旧命令有退出或PG替代说明。","HTTP之外的业务入口全部纳入PG-01/08，未发现未登记的DB_PATH/SQLite定时任务；历史备份/导入代码仅通过CW-060隔离工具可达。","命令×数据库/身份矩阵、拒绝/审计/幂等记录、timer及备份目标清单","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-033","W5","制作可恢复的数据与资产演练快照","数据负责人","CW-005、CW-006","必需；首先只读，复制在隔离位置","尚无当前存量数据证明","先盘点并保护原始PG/SQLite和对象；对现有PG通过物理备份+WAL或批准的逻辑快照实际还原隔离克隆，记录时间点/LSN/timeline（适用时）。旧SQLite在停写/封存获取阶段验证一致快照，封存后只读；包含迁移head、关键业务和账务、未完任务及对象清单。","server/scripts/sqlite_to_postgres.py；server/scripts/reconcile_customer_billing.py；server/app/backup.py；deploy/postgres/；实际源库和对象清单","实际restore后的PG关键数据、schema/head、关联/金额摘要一致；逻辑恢复不冒充PITR；SQLite封存前锁仅为获取一致视图，不改变业务内容，封存后原件hash不变；不修改原业务库或把凭据明文写入Git/CSV；未完任务/冻结额和对象位置齐备。","每个拟处理数据批次都有可恢复快照、完整性校验和访问责任人；没有可用备份时禁止执行数据写入或旧包卸载。","备份manifest/hash、实际restore日志、PG版本/head/时间点、封存前后边界与脱敏业务核对","隔离数据演练","规划定义；实施状态以V3账本为准"
"CW-034","W5","路线 A：保留客户 PG 并归档内部数据","数据负责人 + 业务负责人","CW-033、CW-005、CW-056","条件：该数据批次选择A","最少迁移，但需证明内部数据无需进入客户库","保持客户PG中的用户、设备、session、项目和账务；需要schema收口时依CW-056追加兼容升级，区分有意schema变化与业务数据不变；内部SQLite只读归档并验证恢复，生产最终停旧写与入口下线在CW-051执行。","data-deploy-audit.md §3A；受保护PG/SQLite副本及对象清单","演练前后客户PG业务记录/余额/设备关系不变；内部归档可恢复、不可继续误写；若保留PG自身仍有local资产，另执行CW-037而非假定无需迁移。","业务确认无内部数据需合入，归档恢复证据齐备；非A批次以CW-005证据登记不适用，不能伪记迁移成功。","A路线核对表、业务确认、归档恢复记录","条件路线数据验收","规划定义；实施状态以V3账本为准"
"CW-035","W5","路线 B：从 SQLite 导入空 PostgreSQL","数据负责人 + 数据复核","CW-033、CW-025、CW-005、CW-056、CW-060","条件：该数据批次选择B","已有工具仅支持空目标/相同重放","原SQLite封存归档只读；必要时只升级hash固定的离线工作副本，生成新只读输入快照。目标PG升级至冻结head后复用受限空库导入工具；核对表/列/PK/约束/PG-only表、序列和客户资格，不复制旧登录凭据。","server/scripts/sqlite_to_postgres.py；server/scripts/reconcile_customer_billing.py；server/migrations/versions/","非空不一致目标被拒绝；首次导入完整、同一快照重放不新增，中断回滚无半导入；users/wallets/orders/transactions/projects/tasks/assets主键集合与源一致，每个钱包可由流水重算，PAID无CHARGE及CHARGE无PAID均为0；价格快照形状的PG check、code/user/session/order/CHARGE唯一约束和当前设备槽/fingerprint部分唯一索引真实存在且合法/非法样本均验证；实际文件由CW-037核验，不能把DB导入成功当作资产完工。 同时验证下一次ID/流水分配无碰撞、重放不回退序列；序列状态与事务数据分别核验，不能假定失败会回滚setval。导入阶段不创建写能力SQLite连接，缺PG目标不得以SQLite快照测试宣称通过。","空库导入与重放演练、用户资格转换方案及账务对账全部通过；非B批次登记不适用；不直接把内部账户变成有效客户session。","B路线导入日志、重复/失败恢复用例、全量对账","条件路线数据验收","规划定义；实施状态以V3账本为准"
"CW-036","W5","路线 C：选择性合并已有客户 PG","数据负责人 + 架构/账务复核","CW-033、CW-025、CW-029、CW-005、CW-056、CW-060","条件：该数据批次选择C","现有工具不支持，需专项设计与实现","建立全部FK和应用读取的JSON/text内嵌ID清单，专项设计用户/项目/资产/订单/幂等/任务计费轮次映射、冲突、血缘、序列与分批恢复。已有客户保持，账务源ledger_sequence与目标新序列分别记录，不直接叠加钱包。 钱包目标ledger_sequence由目标PG分配，不传调用者指定序列；源库/源交易/源序列（含NULL）进入不可变血缘映射。","server/scripts/；server/migrations/versions/；server/app/internal_billing.py；新文件须先登记CW-006映射","已有客户不覆盖；相同ID/用户名不能自动合户；迁移后当前引用的旧ID残留/孤儿为0、owner一致；identity/serial/账务序列下一写无冲突，重放不倒退；merchant/provider单号、幂等键、计费轮次不碰撞；每批可重放，失败恢复不重复入账，PAID/CHARGE双向闭合且余额可由有来源流水重算。 目标正常新增流水验证触发器与下一序列无碰撞，不把源NULL序列伪造为已知历史顺序。","冲突样本、逐批幂等、部分失败恢复、完整账务与资产引用对账均通过独立复核；不得以删除空库保护替代此任务；非C批次登记不适用。","全量FK/JSON引用矩阵、源目标ID/账务序列血缘、冲突样本、下一写/重放/失败恢复及账务证据","条件路线数据验收","规划定义；实施状态以V3账本为准"
"CW-037","W5","迁移并逐对象校验历史 local 资产","存储负责人 + 数据负责人","CW-033、CW-031、CW-005","条件：任一待保留数据存在local或非共享持久对象","DB工具不复制文件","按已选路线复制源视频、源帧、人物、首帧等实物到私有COS，建立旧URI→新key映射；内容校验后更新引用；保留回滚期内的源对象，不强制将DIRECT成片改为COS。","server/app/storage.py；server/app/media_routes.py；server/scripts/reconcile_customer_billing.py；对象迁移工具","逐对象size/SHA-256/owner/引用数与授权可读检查通过；跨API/Worker可访问；重复复制不产生无主对象/越权；引用更新失败可恢复；保留数据中不再有待迁local引用。","复制与引用双向清单闭合、缺失对象为0；若无资产需迁移，必须有遍历/引用扫描证据才可登记不适用，不能只查一张表。","对象映射与校验摘要、权限读取/失败恢复记录","条件路线数据验收","规划定义；实施状态以V3账本为准"
"CW-038","W5","核对未完任务、冻结额度与外部回执","账务负责人 + Worker负责人","CW-010、CW-029、CW-030、CW-033；本批次适用的CW-034/CW-035/CW-036","必需","未完任务不能靠回滚数据库静默消失","盘点排队/运行/提交不确定/失败待补偿任务及冻结额；为每类状态制定排空、恢复、取消或人工核验操作，保存Provider回执关联和操作幂等键。","server/app/internal_billing.py；server/app/generation.py；server/app/oral_worker.py；server/scripts/reconcile_dangling_billing_reservations.py","停写模拟后每个未完任务有唯一处置；已收费/未知收费不自动再POST；成功/失败/取消后钱包和终态流水一致；未知项只有在受保护的人工核验队列中才可保留，不能重复释放或伪标成功。","无未归属任务或无处置责任的冻结额，账务差额为0；需人工核验的例外有明确定义、负责人和不重复收费保护，切换放行须由账务负责人确认。","待办处置表、外部回执引用、钱包对账与幂等证据","数据/账务演练","规划定义；实施状态以V3账本为准"
"CW-039","W5","完成数据副本演练并冻结切换回滚手册","数据负责人 + 运维/业务验收","CW-034、CW-035、CW-036、CW-037、CW-038（不适用分支按规则关闭）","必需；真实生产切换留CW-051","本任务不提前写生产","按A/B/C选定批次完成副本演练，规定停写、最后增量、对象切换、冻结/未知任务核对、验证、回退流量及源数据保留；记录最后一次可安全回退的边界。","数据演练产物；deploy/；docs/客户版部署与灰度手册.md","模拟切换后用户/项目/版本/资产/设备/账务符合预期；模拟中途失败可恢复；已确认交易不会被快照回灌抹掉；回退旧兼容代码仍能读取前向schema；所有步骤有操作者和检查点。 回滚后业务仍在PG；生产回退不能恢复SQLite继续写。已确认资金事实与序列状态分别处置，不以快照覆盖消除差异。","演练和可执行runbook签收；所选路线、对象校验、未完任务及停写操作无未知项；仅表示生产切换已具备准备条件，实际授权和写入在CW-051。","数据演练验收、停写/切换/回滚手册、签收","数据副本演练通过；实际环境满足类生产条件才记STAGING_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-060","W5","隔离历史 SQLite 迁移工具与兼容测试","数据工具负责人 + QA","CW-005、CW-007、CW-053、CW-056","必需；无待迁数据也须完成入口隔离与例外盘点","旧backup既有封存锁又有只读快照依赖","将legacy来源采集/快照/必要副本schema规范化/导入作为版本化operator工具或一次性job；不注册API/Worker，不进入客户或在线后端运行包；TEST-IMPORT/TEST-HISTORY测试单列并使用PG目标，对已发布迁移保留精确例外。","server/app/backup.py；server/app/db.py；server/scripts/sqlite_to_postgres.py；server/scripts/reconcile_customer_billing.py；server/migrations/；server/tests/test_sqlite_to_postgres.py；server/tests/test_migration_dialect_contract.py；deploy/","封存前一致性锁不改变业务内容，封存后归档原件hash不变；必要schema升级只写隔离工作副本，导入只读新快照；目标PG明确，维护窗/锁/重放与脱敏报告权限符合平台；在线包/客户包和启动图不能调用该工具；TEST-IMPORT/TEST-HISTORY缺PG不伪通过。","PG-09允许清单与独立工具制品可复建，版本绑定最终head；TEST-IMPORT/TEST-HISTORY仅证明历史输入兼容；原DB/backup模块的在线消费者全部已迁移或已登记待CW-042裁剪，不能留下未说明反向依赖。","工具制品hash/文件清单、源保护/副本规范化/只读导入用例、TEST-IMPORT/TEST-HISTORY独立报告","AUTOMATED_VERIFIED，仅历史输入兼容范围","规划定义；实施状态以V3账本为准"
"CW-040","W6","退出内部发行和专属运维脚本","发布负责人 + 运维负责人","CW-021、CW-024、CW-032、CW-039、CW-057、CW-060","必需；针对源码/发布路径，实际旧系统停写由CW-051执行","默认交付路径已冻结后才能删","删除内部NSIS发行步骤、本地launcher和无客户消费者的internal-p0服务/备份/说明；保留客户API@/Worker@、PG PITR、监控及必要离线迁移工具。","deploy/internal-p0.env.example；deploy/nginx/internal-p0.conf.example；deploy/systemd/；client/src-tauri/resources/；scripts/","默认发布清单只有客户包与后端部署；不再有可启动内部产品的正式命令；实际在用服务不因名字被误删；客户备份/监控/恢复仍可执行。","消费者审计、替代部署和回滚证据齐备；源代码退休不自动删除现有数据、备份或运行中的旧进程。","删除清单、调用搜索、客户部署/恢复合同","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-041","W6","退出内部身份和内部专用前后端入口","前后端负责人","CW-026、CW-027、CW-028、CW-016、CW-003、CW-039","必需；合法客户兼容接口允许保留","按消费者和用途清理，不按URL前缀","移除内部登录壳/旧钱包消费者、内部token签发和认证、固定用户与共享代理身份，取消已无合法消费者的内部专用路由；客户通用/兼容API继续保留并登记。","client/src/App.tsx；client/src/WalletPanel.tsx；client/src/api.ts；server/app/internal_accounts.py；server/app/auth.py；server/app/control_auth.py；server/app/main.py","旧内部凭据和旁路请求按合同返回拒绝/不可达且副作用0；客户业务、管理员和支付回调回归通过；客户仍需的/api/projects等不被删；兼容白名单中无内部产品运行模式。","每个删除项有替代消费者证据；新客户包不含内部界面/管理界面，服务器无法以内部身份模式运行；兼容接口保留理由、版本和后续处置清楚。","路由/身份拒绝矩阵、构建依赖图、兼容允许清单","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-042","W6","移除 SQLite 业务运行实现与本地持久回退","后端负责人","CW-025、CW-031、CW-039、CW-043、CW-054、CW-055、CW-056、CW-057、CW-060","必需；保留已发布迁移和必要离线工具","共享事务门面不能整文件删除","在客户/PG替代覆盖成立后，移除SQLiteBackend/translator、默认连接、bootstrap/Worker轮询和在线CLI回退；先改完运行调用者再移除BEGIN IMMEDIATE/PRAGMA等过渡兼容。保留PG外层提交权、临时媒体文件、云端签名与字节冻结的历史revision。","server/app/db.py；server/app/db_pg.py；server/app/db_portable.py；server/app/generation_worker.py；server/app/local_settings_key.py；server/app/settings.py；server/app/storage.py","开发/API/Worker/管理/维护入口到SQLite业务连接的可达路径为0；有效PG正常，无效配置不产生.db/WAL；当前业务模块无sqlite3.Row/Error类型兼容债务或SQLite方言依赖，历史例外精确登记隔离；PG事务/fencing、空库与旧PG升级及全业务测试通过。","PG-01/02/03/04/09/10满足，SQLite仅剩精确登记的历史迁移输入/工具测试；没有在线可选SQLite模式，不能用“关键词全消失”或保留无限期运行兼容宣称完成。","调用图/AST扫描、运行文件与连接观察、例外允许清单、PG全业务/历史迁移验证","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-043","W6","核对全业务 PG 测试覆盖并关闭 SQLite 替代","测试负责人","CW-007、CW-009、CW-010、CW-011、CW-018、CW-053、CW-058、CW-059、CW-060","必需；应先于CW-042执行","大量SQLite测试包含共享业务","汇总两组共享业务、客户安全/管理与E2E测试迁移，逐函数/fixture核对TEST-LOGIC/TEST-PG/TEST-IMPORT/TEST-HISTORY类别；每个旧SQLite测试映射PG替代、已退出内部行为或受限历史例外；保护前端和用户流程断言。","server/tests/；client/src/App.test.tsx；client/src/RootApp.test.tsx；client/src/customer/；client/src/studio/；e2e/customer/","数据库相关测试100%分类，TEST-PG类真实PG且SQLite连接/内存库替代为0；旧测试映射缺口0；权限/账务/租约/工作台/新模块无漏域；TEST-IMPORT/TEST-HISTORY单列有PG目标证据，测试失败不能通过删断言、mock持久化或skip隐藏。","PG-06覆盖矩阵闭合且独立复核通过；旧SQLite历史成绩不充当当前业务成绩；CW-042可据此裁剪在线实现。","旧用例→PG用例/退出理由/历史例外矩阵、分类数与实际执行结果、无依据删测审查","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-044","W6","收敛 CI、命令、文档和正式交付清单","工程效能负责人","CW-040、CW-041、CW-042、CW-043、CW-019","必需","双包CI和历史文档仍需同步","CI只产客户桌面包及后端制品，保留secret/Linux质量/支持平台安装包门禁；默认check/build/dev命令统一；同步六份正本、README和环境/部署文档，移除运行方式矛盾。 对check/test/业务E2E及pg-fixture test加入统一PG preflight；拆出历史TEST-IMPORT/TEST-HISTORY检查，增加TEST-PG类禁止SQLite与缺PG非0失败门禁，不新增绕过命令。","package.json；client/package.json；.github/workflows/ci.yml；scripts/verify_no_secrets.sh；README.md；docs/；scripts/pg-fixture.sh；server/pyproject.toml；server/tests/conftest.py","CI无内部包build/archive残留，客户包可追踪版本和SHA；前端、PG、Rust、E2E、构建和依赖审计职责不缺失；文档按空环境可执行且不再声称客户包携带后端或成片强制COS归档。 断开PG后上述业务命令均非0失败；PG可用时TEST-PG类100%执行，缺库skip=0；TEST-IMPORT/TEST-HISTORY独立结果仍须通过；记录server_version、起止head、隔离ID、执行/失败/skip数。","变更命令、CI、用户/运维文档和任务证据一一对应；不会因为删内部包而削弱客户质量门。","CI工作流结果、命令/文件映射、文档复核","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-058","W6","迁移内容、资产与工作台数据库测试到 PG","内容域QA + 后端","CW-007、CW-054、CW-055、CW-056","必需","大量共享测试仍用SQLite或开发默认身份","汇总核销各调用者改造时已同步建立的PG回归，补齐项目/版本/人物/场景/素材/首帧/源帧/工作台草稿/统计/通知/爆款等持久化测试及fixture遗漏；保留既有业务断言，外部媒体/Provider可替代但DB必须真实PG。本任务是全量映射收口，不是首次建立回归；发现遗漏时先补PG失败测试，再修实现。","server/tests/；server/tests/conftest.py；client/src/studio/；e2e/customer/","该组TEST-PG类用例100%真实PG执行；owner/IDOR/版本关联/跨刷新恢复/分页筛选/隐藏审计/FK/JSON及批量种子逐项通过；SQLite替代和缺PGskip为0；每个旧断言有替代编号或有依据退休。","内容域映射闭合交CW-043复核，不以测试文件数减少代替覆盖；不重复扩建已有功能。","逐模块旧→PG用例、分类数与PG版本/head、运行结果和删除理由、各实现任务的测试先行记录及遗漏补测红绿日志","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-059","W6","迁移账务与所有任务域数据库测试到 PG","账务/Worker QA + 独立复核","CW-007、CW-054、CW-055、CW-056、CW-029、CW-030","必需","多种队列和财务用例不能由SQLite证明","汇总核销各调用者改造时已同步建立的钱包/支付/成本/费率、生成/独立/口播/图片/拆解/改写/ASR/恢复等PG回归；对客户/管理/权限/并发专项查漏；用真实PG多连接验证约束、锁、服务端时钟、幂等和状态机。本任务是全量映射收口，不是首次建立回归；发现遗漏时先补PG失败测试，再修实现。","server/tests/；server/app/internal_billing.py；server/app/generation_worker.py；server/app/oral_worker.py；server/app/script_rewrite.py；server/app/script_from_audio.py","该组TEST-PG类100%真实PG执行且SQLite替代/缺PGskip为0；账务差额0、重复入账/重复付费0，旧lease/epoch回写拒绝；FOR UPDATE SKIP LOCKED/advisory lock/约束和不确定提交恢复实际证明；所有旧测试有映射。","财务和任务域PG覆盖独立复核通过，TEST-IMPORT/TEST-HISTORY历史工具测试不冒充当前业务；映射交CW-043汇总。","逐域测试映射、真实约束/锁竞争/账务及Provider请求次数证据、各实现任务的测试先行记录及遗漏补测红绿日志","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-045","W7","通过最终代码与 PostgreSQL 全门禁","QA负责人","CW-044、CW-030、CW-039、CW-053、CW-056","必需","历史通过记录不能代替新发布SHA","对冻结候选运行静态检查、前端/后端相关全套、真实PG迁移与业务集成、Rust、客户E2E、正式构建、安全和依赖审计；记录同一源码和产物哈希。","package.json；.github/workflows/ci.yml；scripts/pg-fixture.sh；server/tests/；client/src/；e2e/","必需检查0失败；全部TEST-PG类数据库用例真实PG执行、PG不可达skip=0、SQLite业务替代=0、未分类/无依据删测=0；PG-01—12当前层级要求和CW-009安全矩阵通过，TEST-IMPORT/TEST-HISTORY单列亦无失败；每次收尾全量pytest由npm run check统一一次，CI附加Rust/构建/审计/E2E齐备；相同SHA记录PG版本/head/隔离ID与制品hash。","Gate A和“全环境PG开发完工”通过；空PG与每个受支持旧PG升级、查询/事务/工具和测试覆盖证据均齐。历史/旧SHA/SQLite成绩不能替代新门，后续改动重验受影响部分。","PG-01—12矩阵、全量命令/退出码/执行与skip明细、PG版本/head/隔离ID、CI及制品hash","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-046","W7","完成支持平台签名包实机与升级验收","桌面QA + 发布负责人","CW-045、CW-024、CW-022、CW-023","必需；每个CW-002支持平台","Windows CI不能替代其他平台实机","在干净系统和实际旧版本安装样本上安装签名客户包，完成启动、激活、重启/升级、双设备、上传、预览、下载/取消、卸载与失败恢复。","客户签名安装包；CW-003兼容矩阵；CW-024安装手册","无需Python/uv/FFmpeg/业务数据库即可使用；无本地业务端口/API/Worker；升级不丢设备身份/凭据/用户文件；旧内部包先数据保护后卸载；签名、版本和包哈希真实有效。","所有支持平台与受支持旧版本矩阵逐格通过；不支持项源自CW-002而非事后降级；未签名包不得进入客户灰度。","OS/旧版本/安装路径矩阵、签名与哈希、实机录像/日志","STAGING_VERIFIED（桌面实机范围）","规划定义；实施状态以V3账本为准"
"CW-047","W7","完成真实多实例与负载验收","运维QA","CW-045、CW-032、CW-004","必需","不能用单API/Worker模拟HA","在LB+双API+四Worker+PG HA+私有COS的真实staging拓扑运行激活、双设备、单在线、显式切换、公平队列及混合负载；逐项执行V3验收规格§5及§8.1，验证跨节点状态和冻结阈值。","deploy/；docs/客户版测试与验收规格-V3.md §5/§8/§9 Gate B；CW-004负载与阈值表","两个API交替读写一致；双设备普通登录冲突不静默踢人，跨API显式切换仅新session在线，旧epoch迟到业务写/heartbeat/logout均不能影响新会话；A=1000/B=100/C=10且均符合运行条件时每轮均获机会，默认每用户running≤1且设备切换不改owner/排队顺序；四Worker领取无重复、无全局队首阻塞；10,000排队任务保存EXPLAIN (ANALYZE, BUFFERS)、锁等待和连接池等待证据；混合任务遵循CW-030逐类策略，API/登录/heartbeat/领取/锁等待及公平指标达到CW-004冻结阈值。","Gate B的正常与负载部分通过，证据记录真实节点和资源；模拟Provider允许但要注明，不能宣称真实付费链路已通过。","真实拓扑与节点、激活/双设备/切换逐例记录、公平与混合负载原始样本、SQL计划及PG/Worker日志","STAGING_VERIFIED","规划定义；实施状态以V3账本为准"
