任务ID,任务,用例ID,验收阶段,阻塞层级,验收项,前置/步骤,预期结果,实际结果,证据要求,证据链接,执行人,执行时间,候选SHA
FP-26,替换账户概览中的固定业务状态,FP-26-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,真实余额,使用余额为0和非0的账户，完成受控结算/释放后刷新。,侧栏、概览与钱包一致，0可识别为真实值；无固定示例数字。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-26,替换账户概览中的固定业务状态,FP-26-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,服务失败,让钱包/资料读取失败并查看未接发布统计。,显示失败/未知或待接入，而不是假0/已激活成功；有合理重试入口。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-26,替换账户概览中的固定业务状态,FP-26-A3,本地自动化/受控浏览器,AUTOMATED_VERIFIED,暂缓状态,在本期范围打开发布账号页与发布页。,明确暂缓/未启用；无授权或发布调用，固定0不伪装真实数量。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-27,补齐口播服务配置与连接检查能力,FP-27-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,配置与角色,管理员保存/重载Hifly配置，客户或审计者尝试修改/查看敏感值。,只显示掩码和允许信息；未授权操作拒绝；日志和产物无密钥。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-27,补齐口播服务配置与连接检查能力,FP-27-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,检查结果,分别模拟配置缺失、认证失败、超时、只读成功、供应商无探测API。,UI明确区别各状态；不会用配置存在冒充连通，更不会自动创建收费任务。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-27,补齐口播服务配置与连接检查能力,FP-27-A3,真实链路（后续授权阶段）,REAL_CHAIN_VERIFIED,真实探测,在FP-38获准的服务上执行声明过的真实探测。,取得匹配的状态/脱敏回执；COS写读删和可能计费探测按授权范围执行。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-28,明确并补齐工作区搜索范围,FP-28-A1,本地自动化/受控浏览器,不阻塞本期；纳入后：AUTOMATED_VERIFIED,范围与跳转,按确认范围检索未预载的人物/素材/文案/视频名称。,结果范围符合说明，深页数据可查；点击打开对应对象。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-28,明确并补齐工作区搜索范围,FP-28-A2,本地自动化/受控浏览器,不阻塞本期；纳入后：AUTOMATED_VERIFIED,空结果与隔离,输入无结果关键词、切账号及制造请求失败。,空态/失败区分，结果不跨账号、不残留旧查询。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-29,实现与通知偏好一致的通知功能,FP-29-A1,本地自动化/受控浏览器,不阻塞本期；纳入后：AUTOMATED_VERIFIED,事件通知,制造一次成功、失败及需处理状态，再重复投递相同终态事件。,每个确认范围内事件只产生一条通知，未读/已读可追踪，点击到正确任务。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-29,实现与通知偏好一致的通知功能,FP-29-A2,本地自动化/受控浏览器,不阻塞本期；纳入后：AUTOMATED_VERIFIED,偏好与角色,关闭偏好并产生新任务事件，再切另一账号。,按已确认规则停止可选提醒；无跨账号消息，任务状态仍可查。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-30,接通已选定的视频链接解析方案,FP-30-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,支持链接,对已确认平台使用合法受控链接执行解析并选提文案/复刻。,正确来源进入FP11同一链路；保存归属和来源，不重复下载/创建。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-30,接通已选定的视频链接解析方案,FP-30-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,不支持与失效,输入视频号、不支持平台、过期链接、无媒体链接。,明确解释并提供上传回退；失败不留下假就绪项目。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-30,接通已选定的视频链接解析方案,FP-30-A3,真实链路（后续授权阶段）,REAL_CHAIN_VERIFIED,真实服务,FP38授权后用Douyidou实际解析一条。,有脱敏请求回执、真实资产和后续处理证据；模拟响应不能销真实验收。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-31,发布账号授权与账号管理,FP-31-A2,真实链路（后续授权阶段）,不阻塞本期；纳入后：REAL_CHAIN_VERIFIED,解冻后授权,恢复排期后执行授权成功、取消、过期、解绑。,回调与账号归属真实一致，过期不可发布；未授权前此用例保持未执行。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-32,云端发布草稿、封面与提交,FP-32-A1,本地自动化/受控浏览器,不阻塞本期；纳入后：AUTOMATED_VERIFIED,草稿持久化,解冻后编辑草稿/封面，刷新并重新登录继续编辑。,字段和素材一致且按用户隔离；上传失败不能假保存。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-32,云端发布草稿、封面与提交,FP-32-A2,真实链路（后续授权阶段）,不阻塞本期；纳入后：REAL_CHAIN_VERIFIED,发布提交,用获准测试账号确认发布，重复点击并模拟网络超时。,只产生一次逻辑发布；状态为待确认/处理中，不能未经平台回执显示成功。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-33,发布回执、异常处理与发布统计,FP-33-A1,本地自动化/受控浏览器,不阻塞本期；纳入后：AUTOMATED_VERIFIED,回执和重试,模拟成功、失败、处理中、提交不确定和重复回调。,页面/数据库一致，只有可重试状态允许重试，发布成功数只加一次。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-33,发布回执、异常处理与发布统计,FP-33-A2,真实链路（后续授权阶段）,不阻塞本期；纳入后：REAL_CHAIN_VERIFIED,真实发布,Q06及FP38确认目标后完成一条真实发布并打开平台链接。,平台实际可见，与发布记录、素材、账号一致；删除/撤回另获授权。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-34,定义并实现实收收入和利润口径,FP-34-A1,本地自动化/受控浏览器,不阻塞本期；纳入后：AUTOMATED_VERIFIED,业务样例对账,用确认的充值、部分消费、赠送、退款、跨日和价格变更样例计算。,每个数字可追到订单/账本/任务，结果与确认样例精确一致。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-34,定义并实现实收收入和利润口径,FP-34-A2,本地自动化/受控浏览器,不阻塞本期；纳入后：AUTOMATED_VERIFIED,页面导出一致,切换口径/日期并导出，检查客户详情和总览汇总。,筛选范围与单位一致；未知数据不填假0，历史报表可解释。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-35,完成52条页面模块的逐角色交互验收,FP-35-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,全量模块走查,在同一候选SHA对客户、员工、审计员、管理员逐条走查本期模块。,每行有通过/失败/不适用/暂缓及证据；无仅凭截图或组件单测标全流程通过。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-35,完成52条页面模块的逐角色交互验收,FP-35-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,完整创作链,执行上传复刻、置换→图生、能力开放的独立生成、文字/音频口播、爆款→文案、素材复用→下载。,跨页对象一致、参数不丢、结果可达；测试替代服务与真实供应商证据分开。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-35,完成52条页面模块的逐角色交互验收,FP-35-A3,本地自动化/受控浏览器,AUTOMATED_VERIFIED,暂缓与条件能力,检查发布暂缓、未配置服务及关闭能力的入口。,用户能理解限制，不能误提交；这些项不计为全功能完成。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-36,完成候选版本质量门禁和证据收口,FP-36-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,质量门禁,在独占PG fixture条件执行npm run check，必要的构建/Rust/依赖/客户E2E门禁查CI。,所有相关门禁退出0；失败和skip逐条处理，PG跳过不得标完整AUTOMATED_VERIFIED。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-36,完成候选版本质量门禁和证据收口,FP-36-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,证据对照,对比测试SHA、构建SHA、差异与任务清单状态。,不存在拿旧结果销新代码；每任务验收有记录；diff经审查、无真实秘密。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-36,完成候选版本质量门禁和证据收口,FP-36-A3,本地自动化/受控浏览器,AUTOMATED_VERIFIED,可回滚,在隔离环境验证回退路径，含新增迁移时的升级/降级合同。,保留客户数据和账务事实；复杂回滚明确步骤与限制。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-37,衔接现有T35–T39类生产验证,FP-37-A1,类生产环境,STAGING_VERIFIED,多实例任务,在获准staging用至少双API和多Worker跑混合普通/口播任务。,无重复领取/重复结算、会话隔离成立，节点重启后任务可恢复；单实例不能替代。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-37,衔接现有T35–T39类生产验证,FP-37-A2,类生产环境,STAGING_VERIFIED,故障恢复,按原T35–T39规格执行获准的备份/恢复、节点或依赖故障演练。,满足主验收规格的恢复与账务要求，留存日志和同SHA证据；未完成项不标STAGING_VERIFIED。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-38,逐供应商执行真实链路验收（关联T40）,FP-38-A1,真实链路（后续授权阶段）,REAL_CHAIN_VERIFIED,Metaso,在授权参数矩阵内生成真实视频，包括本期开放的模式；扩展模式未开放则明确不适用。,返回可追踪供应商任务，取回可播放视频，参数和计费对应；Fake不可替代。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-38,逐供应商执行真实链路验收（关联T40）,FP-38-A2,真实链路（后续授权阶段）,REAL_CHAIN_VERIFIED,Apilio,执行一次真实拆解及人物/首帧生成，并核验切片。,得到实际内容与真实切片，不落入占位分支；费用/任务可关联。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-38,逐供应商执行真实链路验收（关联T40）,FP-38-A3,真实链路（后续授权阶段）,REAL_CHAIN_VERIFIED,Hifly,用获准素材完成声音/分身及文字/音频口播，验证字幕；照片克隆取决于实际会员能力。,克隆与生成回执、READY/确认状态、字幕效果、成品和归档/计费一致。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-38,逐供应商执行真实链路验收（关联T40）,FP-38-A4,真实链路（后续授权阶段）,REAL_CHAIN_VERIFIED,TikHub与Douyidou,分别验证爆款读取/媒体取得及支持平台链接解析，重复读取已有缓存。,真实来源可续接文案/复刻；缓存与回源行为可解释，不把接口配置当接通。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-38,逐供应商执行真实链路验收（关联T40）,FP-38-A5,真实链路（后续授权阶段）,REAL_CHAIN_VERIFIED,COS,在指定获准位置上传、读取、签名预览、下载与归档；清理限于本次测试对象。,实际对象可用、权限有效、链接过期行为正确；不误删历史素材。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-38,逐供应商执行真实链路验收（关联T40）,FP-38-A6,真实链路（后续授权阶段）,REAL_CHAIN_VERIFIED,ZPay,按获准小额完成真实下单/支付/回调/查单，并核对客户与后台账务。,实际到账只入账一次，订单/流水/余额一致；未支付/过期/回调重放按原合同处理。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-39,执行目标桌面安装包和下载验收,FP-39-A1,目标桌面实机,目标桌面验收通过,安装与身份,在目标Windows设备安装候选包，激活/重登/升级再启动。,连到正确环境，凭据按设计恢复，未签名包不宣称已签名正式发布。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-39,执行目标桌面安装包和下载验收,FP-39-A2,目标桌面实机,目标桌面验收通过,文件下载,选择保存目录，执行成功、取消、网络失败/重试并打开最终文件。,UI反馈与磁盘文件一致，取消无假成功；视频可完整解码/播放。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-40,形成发布范围结论并衔接T41–T42,FP-40-A1,发布决策/获准灰度,发布决策记录完工（可为No-Go）,交付边界,取得FP-38/39状态快照，复核每项任务状态、例外及代码/运行/真实链路证据；模拟未授权/未执行/失败输入。,可以精确表述本期完成范围；有阻断缺陷、缺真实关键链路证据时结论No-Go。 No-Go记录本身可验收通过，但不代表灰度用例通过或PRODUCTION_GO；Go要求关键真实链路和目标桌面验收通过。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-40,形成发布范围结论并衔接T41–T42,FP-40-A2,发布决策/获准灰度,PRODUCTION_GO,灰度与回滚,获得明确范围后按原10→100码阶段与回滚方案执行。,每级满足原任务门槛才扩大；无授权时记录待执行，不自动发码/发布。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
