任务ID,批次,优先级,任务,当前状态,排期条件,主责/复核,来源缺口,依赖,依赖要求,确认点,正式任务映射,完工标准,验收用例ID,源码范围（审计快照）
FP-29,C 需产品确认的扩展能力,P2,实现与通知偏好一致的通知功能,未开工,待排期，相关子项先确认,前端 / 后端，QA 复核,G20,FP-21、FP-22,AUTOMATED_VERIFIED,Q05,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. Q05确认本期事件与渠道，建议先站内任务成功/失败/需要处理、未读与详情跳转，公告与外部推送另确认。
2. 消费既有通知偏好，重复终态事件去重；偏好关闭不隐藏交易/任务本身的必要状态。新增持久化/文件名在实施前对齐文件映射。",FP-29-A1、FP-29-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/MainPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/studio_routes.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/generation_worker.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/oral_worker.py"
FP-30,B 已有能力补齐,P1,接通已选定的视频链接解析方案,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,U03,FP-11、FP-27,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 沿用已确认的Douyidou方案和现有工程参考，不重做供应商选型；移植所需新文件先对齐冻结文件映射。
2. 解析→来源资产/项目→文案或复刻完整交接；明确支持平台和错误/限额/超时，视频号不支持时引导文件上传，不作假承诺。",FP-30-A1、FP-30-A2、FP-30-A3,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/MainPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/api.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/media_routes.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/settings.py"
FP-31,C 暂缓，解冻后单独排期,P2,发布账号授权与账号管理,未开工,暂缓（需解冻）,产品 / 前后端 / 平台对接,U01,FP-00,AUTOMATED_VERIFIED,Q06,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 保持C5暂缓；本期暂缓状态和固定数字收口由FP-26/35负责。本任务仅在Q06明确恢复、首发平台和接口条件后冻结并实现授权/回调/续期/解绑。
2. 解冻后按账号归属和过期状态提供前后端管理；新增后端文件/API/迁移映射在立项时确认，不能把授权链接当已连接。",FP-31-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/MainPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/ContentPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/api.ts"
FP-32,C 暂缓，解冻后单独排期,P2,云端发布草稿、封面与提交,未开工,暂缓（需解冻）,产品 / 前后端 / 平台对接,U01、U02,FP-31、FP-19,AUTOMATED_VERIFIED,Q06,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 仅在Q06恢复发布范围后实现按账号云端草稿、标题/文案/标签、封面上传和校验、目标账号选择。
2. 提交前明确用户确认与目标范围，写请求可追踪且幂等；本期C5暂缓时不建发布后台。",FP-32-A1、FP-32-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/ContentPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/api.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/material_routes.py"
FP-33,C 暂缓，解冻后单独排期,P2,发布回执、异常处理与发布统计,未开工,暂缓（需解冻）,产品 / 前后端 / QA,U01、U10、D06,FP-22、FP-32,AUTOMATED_VERIFIED,Q06,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 解冻后建立真实发布状态回查、成功链接、失败原因及可重试动作；超时不直接认定失败重发。
2. 发布计数按真实成功事件去重，外部播放/互动数据只有取得实际授权与来源后才接入。",FP-33-A1、FP-33-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/ContentPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/AnalyticsPage.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/studio_routes.py"
FP-34,C 需产品确认的扩展能力,P2,定义并实现实收收入和利润口径,未开工,待排期，相关子项先确认,业务 / 后端 / 财务数据复核,U05,FP-22,AUTOMATED_VERIFIED,Q07,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 先由Q07明确充值到账、消费收入或两套并列口径，以及退款/赠送/调账/历史价格归属；样例对账确认后再实现。
2. 保留标准售价估算的独立标识，报表和CSV同口径，不修改底层已结算资金事实。",FP-34-A1、FP-34-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/admin/ProfitOverview.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/admin/OverviewPage.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/api.admin.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/admin_profit_routes.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/admin_dashboard_routes.py"
FP-35,D 完整验收与交付,P0,完成52条页面模块的逐角色交互验收,未开工,待基线复现/前置任务,QA 主责，各模块负责人修复,无,FP-01、FP-02、FP-03、FP-04、FP-05、FP-06、FP-07、FP-08、FP-10、FP-11、FP-12、FP-13、FP-14、FP-15、FP-17、FP-18、FP-19、FP-20、FP-21、FP-22、FP-23、FP-24、FP-25、FP-26、FP-27、FP-30,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 以52条模块清单和585处源码控件声明为起点，展开本期可见按钮/表单/弹窗/状态；记录角色、前置、步骤、请求、结果和返回路径。
2. 覆盖新账号、已有数据、分页数据、异步中、空态、失败/重试、返回/刷新/重复点击；DEV审核与正式登录分别执行。新增E2E文件名先对齐现有映射。
3. 本期若纳入FP-16/28/29/34，或明确解冻FP-31至33，必须将其加入本任务依赖和走查矩阵；未纳入项明确标为待确认/暂缓，不允许标通过。",FP-35-A1、FP-35-A2、FP-35-A3,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/RootApp.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/AdminApp.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/e2e/customer/playwright.config.mjs
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/docs/客户版测试与验收规格-V3.md"
FP-36,D 完整验收与交付,P0,完成候选版本质量门禁和证据收口,未开工,待基线复现/前置任务,集成负责人 / QA / 独立评审,无,FP-35,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 按本期选择集合执行一次候选版本全仓门禁，检查API类型、格式、lint/typecheck、安全扫描及相关CI；每项任务自己的收尾门禁也不能遗漏。
2. 审计源码、构建、测试、E2E证据绑定同一SHA；更新唯一主账本及证据关联，附变更范围、风险、回滚说明；不覆写历史证据。",FP-36-A1、FP-36-A2、FP-36-A3,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/package.json
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/scripts/pg-fixture.sh
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/docs/客户版任务清单-V3.md
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/docs/CUSTOMER-TASK-EVIDENCE-V3.md"
FP-37,D 完整验收与交付,P0,衔接现有T35–T39类生产验证,未开工,待排期，相关子项先确认,运维 / 后端 / QA,无,FP-36,AUTOMATED_VERIFIED,Q08,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 复用既有T35–T39方案和证据要求，在指定staging运行双API、多Worker、PG、存储及故障恢复验证。
2. 仅补当前候选版本的缺失证据，不重新编写整套基础设施；真实环境访问与变更范围通过Q08确认。",FP-37-A1、FP-37-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/docs/客户版任务清单-V3.md
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/docs/客户版测试与验收规格-V3.md
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/docs/CUSTOMER-TASK-EVIDENCE-V3.md"
FP-38,D 完整验收与交付,P0,逐供应商执行真实链路验收（关联T40）,未开工,待排期，相关子项先确认,QA / 业务 / 运维，各供应商独立销项,无,FP-37,STAGING_VERIFIED,Q08,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 执行前形成逐服务授权单：环境、测试账号、操作、样本、数量/金额上限、停止条件；已有明确授权仅按原范围复用，不在聊天里收集明文密钥。
2. 每供应商独立登记配置/能力、请求回执、结果产物、内部任务及账务关联；单个服务通过不带动全部通过。故障负例优先受控注入，避免人为扩大真实费用。",FP-38-A1、FP-38-A2、FP-38-A3、FP-38-A4、FP-38-A5、FP-38-A6,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/docs/客户版任务清单-V3.md
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/docs/客户版测试与验收规格-V3.md
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/docs/CUSTOMER-TASK-EVIDENCE-V3.md"
FP-39,D 完整验收与交付,P0,执行目标桌面安装包和下载验收,未开工,待排期，相关子项先确认,桌面负责人 / QA,无,FP-36,AUTOMATED_VERIFIED,Q08,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 沿用既定Windows客户版交付目标，核对签名/安装包配置和候选SHA；若新增macOS需单独确认范围。
2. 真实安装/升级/启动登录/凭据恢复/下载保存/取消失败路径逐项验证；区分浏览器与Tauri行为。",FP-39-A1、FP-39-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src-tauri/tauri.customer.conf.json
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/api.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/videoDownload.test.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/docs/客户版任务清单-V3.md"
FP-40,D 完整验收与交付,P0,形成发布范围结论并衔接T41–T42,未开工,取得FP-38/39状态快照即可评审；Go与灰度另需通过及授权,业务 / 发布负责人 / QA,无,FP-38、FP-39,STATUS_SNAPSHOT,Q08,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 取得FP-38/39及本期任务的状态快照（通过、失败、未授权、未执行均可作为输入），汇总暂缓项和未获准能力并形成Go/No-Go；缺关键证据时可直接完成No-Go评审，不把暂缓项隐藏。
2. 按原T41–T42经过真实链路、目标安装包、监控回滚与业务批准后，才执行获准灰度/发码；新发布账号模块未解冻则继续暂缓。",FP-40-A1、FP-40-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/docs/客户版任务清单-V3.md
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/docs/CUSTOMER-TASK-EVIDENCE-V3.md"
