"原任务","原名称","核查判定","已有内容","剔除重复开发","剩余内容","V3处理","承接编号","源码依据","其他本地分支"
"CW-020","将客户 Tauri 配置变成唯一默认","已有基础，仍有增量","tauri.customer.conf.json 已定义既有 customer identifier、窗口 /customer、HTTPS CSP、resources 空列表及安装器 hook；专用 :customer build 已启用 --no-default-features 和 origin guard。","剔除从零创建客户 Tauri 配置、identifier、窗口/HTTPS 策略和无资源 customer target；沿用既有命名空间。","把现有客户配置和命令变成唯一默认，删除内部 default feature/config 对正式发行的影响；默认 dev/build/check 统一，并联动地址失败合同和 README。","代码与测试增量","CW-020","[client/src-tauri/tauri.customer.conf.json:5](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/tauri.customer.conf.json:5)；[client/src-tauri/tauri.customer.conf.json:20](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/tauri.customer.conf.json:20)；[client/src-tauri/tauri.customer.conf.json:24](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/tauri.customer.conf.json:24)；[package.json:22](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/package.json:22)；[package.json:23](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/package.json:23)；[client/src-tauri/Cargo.toml:13](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/Cargo.toml:13)","。"
"CW-021","移除桌面本地 API/Worker 启动资源","已有基础，仍有增量","客户 --no-default-features 可编译掉 local-sidecar 启动链，客户配置 resources=[]；窗口、凭据和下载 handler 已与 local-sidecar 分开。","剔除重做无 sidecar 特性隔离与原生桥；保留既有窗口/凭据/下载实现。","源码仍有 BackendProcess、端口探测、BOOT_COMMAND、启动脚本、退出杀进程和默认 feature，需在唯一客户构建后删除并扩大制品检测；不能顺手删除旧安装数据。","代码与测试增量","CW-021","[client/src-tauri/src/lib.rs:20](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/src/lib.rs:20)；[client/src-tauri/src/lib.rs:40](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/src/lib.rs:40)；[client/src-tauri/src/lib.rs:92](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/src/lib.rs:92)；[client/src-tauri/src/lib.rs:119](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/src/lib.rs:119)；[client/src-tauri/Cargo.toml:13](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/Cargo.toml:13)；[client/src-tauri/tauri.customer.conf.json:24](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/tauri.customer.conf.json:24)","。"
"CW-022","保持客户凭据与设备身份升级兼容","已有实现，待复验","原生凭据库已经具备 Windows DPAPI 加密文件、macOS Keychain、固定 service/account、稳定 device-instance-id、Windows 注册表迁移镜像、原子同步写；clear_session 保留设备凭据，clear_all 不删除稳定 ID；各 OS 条件测试已存在。","剔除重新实现加密 vault、DPAPI entropy、Keychain service/account、Windows 注册表稳定 ID、清理基础方法和相同目录重启 roundtrip。","在 CW-020 沿用已发客户 identifier/app_data_dir 后，执行现成 OS 原生专项与受支持旧版本升级/重装/损坏/权限拒绝矩阵；核对 device_id/slot/epoch 和原密文可读，不凭函数存在当验收。前端清理故障/恢复合同差额统一由 CW-017 实现，新增支持平台差额由 CW-002 决策后登记。","复验","CW-022","[client/src-tauri/src/customer_credentials.rs:28](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/src/customer_credentials.rs:28)；[client/src-tauri/src/customer_credentials.rs:87](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/src/customer_credentials.rs:87)；[client/src-tauri/src/customer_credentials.rs:105](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/src/customer_credentials.rs:105)；[client/src-tauri/src/customer_credentials.rs:146](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/src/customer_credentials.rs:146)；[client/src-tauri/src/customer_credentials.rs:268](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/src/customer_credentials.rs:268)；[client/src-tauri/src/customer_credentials.rs:583](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/src/customer_credentials.rs:583)；[client/src-tauri/src/customer_credentials.rs:700](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/src/customer_credentials.rs:700)；[client/src-tauri/src/customer_credentials.rs:792](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/src/customer_credentials.rs:792)；[docs/evidence/T29-EVIDENCE.md:87](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/T29-EVIDENCE.md:87)","。"
"CW-023","保留上传、预览及原生下载完整体验","已有基础，仍有增量","已有 XHR 上传进度/abort、签名预览、对象请求不传 Bearer、Windows 保存框/路径授权、原生完成事件与查询补偿、非空文件校验、只允许完成记录打开目录、重复目标/晚到结果隔离测试。","剔除重建上传通道、签名下载、Windows 原生保存桥、完成状态机和现成异常测试。","复验客户收敛后的上传/预览/保存完整路径；重点补实际失败/取消后残留文件处置和支持平台差额。当前原生保存/打开目录仅 Windows，已开始的写盘下载不能取消；必须在 CW-002 明确支持平台和取消范围后登记差额，不能宣称现有覆盖多 OS 或下载中取消。","代码与测试增量","CW-023","[client/src/api.ts:2404](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/api.ts:2404)；[client/src/api.ts:1946](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/api.ts:1946)；[client/src/api.ts:2022](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/api.ts:2022)；[client/src/api.ts:2098](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/api.ts:2098)；[client/src-tauri/src/video_downloads.rs:128](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/src/video_downloads.rs:128)；[client/src-tauri/src/video_downloads.rs:213](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/src/video_downloads.rs:213)；[client/src-tauri/src/video_downloads.rs:339](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/src/video_downloads.rs:339)；[client/src-tauri/src/video_downloads.rs:497](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/src/video_downloads.rs:497)；[client/src/TaskRecordsPanel.test.tsx:332](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/TaskRecordsPanel.test.tsx:332)","。"
"CW-024","建立唯一签名安装包与安全升级流程","已有基础，仍有增量","已有客户 NSIS hook：固定旧内部 per-user 路径检测、同步卸载、退出码/执行错误即 Abort；CI 会构建无签名客户包、检查启动器并归档 SHA。","剔除从零建设客户 NSIS hook、卸载失败阻断和基础 SHA/包归档；复用现成机制并修改不满足数据保护的前置行为。","当前 hook 在单一固定路径自动卸载且没有归档/迁移证明前置；补实际旧安装路径/运行进程/数据保护/回滚矩阵及唯一签名发布流程；现有 --no-sign 仅测试制品。","代码与测试增量","CW-024","[client/src-tauri/customer-installer-hooks.nsh:5](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/customer-installer-hooks.nsh:5)；[client/src-tauri/customer-installer-hooks.nsh:9](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/customer-installer-hooks.nsh:9)；[client/src-tauri/customer-installer-hooks.nsh:13](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/customer-installer-hooks.nsh:13)；[.github/workflows/ci.yml:201](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/.github/workflows/ci.yml:201)；[.github/workflows/ci.yml:233](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/.github/workflows/ci.yml:233)；[package.json:23](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/package.json:23)","。"
"CW-025","将所有环境后端固定为 PostgreSQL","已有基础，仍有增量","客户生产模式已强制 PostgreSQL、TLS，并拒绝 PG 与 DB_PATH 混配；API/Worker 均已有 PG 执行入口。","历史 SQLite 只读迁移工具与已发布 migration 由 CW-060 隔离，不作为在线运行入口；SQL/类型与事务细节分别由 CW-054/055 收口。","删除所有环境对 sqlite://、DB_PATH、自动 SQLite 建库的在线解析和 API/Worker/开发回退；让缺 DSN、SQLite URL、DB_PATH、PG 不可达、错 schema 在全部环境 fail-closed，且不生成 .db/-wal/-shm；验证桌面制品不接收 PG DSN，API 与 Worker 只连接同一登记 PG。","代码与测试增量","CW-025","[server/app/db_pg.py:122](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/db_pg.py:122)；[server/app/auth.py:40](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/auth.py:40)；[server/app/generation_worker.py:1583](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/generation_worker.py:1583)；[server/app/bootstrap.py:540](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/bootstrap.py:540)","。"
"CW-026","收敛客户读写认证并保留 fencing","已有基础，仍有增量","客户 PG 读请求可验证 customer session；写请求具备事务内 fencing 原语；客户生产已禁止 internal access token 走业务读路径。","管理员 session/CSRF 归 CW-027；旧路由最终取消注册归 CW-041。","收敛后所有环境移除 internal Bearer、X-Dev-User-Id、固定桌面身份旁路；当前非客户生产仍接受；逐个保留业务路由证明 read owner 与 write fenced transaction 覆盖，入口后切换写入 0 副作用；使幂等重放重新执行授权，不可仅返回旧结果绕过当前会话。","代码与测试增量","CW-026","[server/app/auth.py:82](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/auth.py:82)；[server/app/auth.py:115](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/auth.py:115)；[server/app/customer_fence.py:105](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/customer_fence.py:105)；[server/app/customer_fence.py:181](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/customer_fence.py:181)","。"
"CW-027","保留并隔离客户管理后台权限","已有实现，待复验","客户生产的 control 路由已转接逐管理员 session；写方法强制 AdminWriter，旧代理身份运行时拒绝；统一管理写合同已包含 confirm、reason、Idempotency-Key，并按真实 actor 记录；已有 admin session、CSRF、auditor 只读、过期/撤销与幂等专项测试。","管理网页视觉及客户端制品隔离由前端/打包任务验收；真实生产角色 UAT 在 CW-047—050；收敛前内部 P0 proxy 兼容路径的物理删除由 CW-041/042 完成。","无需预设重写后台鉴权；先按保留操作清单核验所有写路由确实使用 AdminWriter/写合同；在 TEST-PG 运行 admin/auditor/customer/无CSRF/过期session/旧proxy 全矩阵；仅在发现漏接路由时修复。","复验","CW-027","[server/app/control_auth.py:24](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/control_auth.py:24)；[server/app/control_auth.py:73](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/control_auth.py:73)；[server/app/admin_write_contract.py:77](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/admin_write_contract.py:77)；[server/tests/test_admin_auth.py:1027](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_admin_auth.py:1027)","。"
"CW-028","迁移共享设置工具并审计旧路由消费者","已有基础，仍有增量","客户 wallet/recharge/settings 与 control 路由仍注册，客户合法兼容 API 尚未被误删；Provider 配置合并/测试等共享函数已有单一可运行实现。","最终取消旧路由注册由 CW-041；源文件删除由 CW-042。","control_routes 仍直接从 settings_routes 导入共享工具，尚未迁到中性现有模块；需要逐端点消费者证据、替代路径及“保留兼容/可删”冻结清单，不能按路径前缀推断；共享工具迁移后补客户和管理员合同回归。","代码与测试增量","CW-028","[server/app/control_routes.py:41](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/control_routes.py:41)；[server/app/main.py:348](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/main.py:348)；[server/app/storage.py:224](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/storage.py:224)","。"
"CW-029","保全客户钱包、扣费和支付回调","已有基础，仍有增量","钱包核心已有 RESERVE/SETTLE/RELEASE、billing_round 与幂等语义；支付回调和充值路由已有服务端入口；已有重复、释放、结算、并发余额等测试，但大部分仍依赖 SQLite。","真实 ZPay/Provider 回调验收归 CW-050；客户端显示金额不构成本项裁决证据；历史 migration 不在本项改写。","把任务结果重复/乱序、未知提交、取消、客户隐藏记录、支付回调验签与跨用户订单全部迁成 TEST-PG 多连接矩阵；对每用例核对 available+reserved+ledger 差额为0并证明历史价格快照不可被现价改写；评估并有选择地重做其他分支的成本账本/口播幂等修复，禁止整体 cherry-pick 分叉分支。","代码与测试增量","CW-029","[server/app/internal_billing.py:134](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/internal_billing.py:134)；[server/app/payment_routes.py:51](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/payment_routes.py:51)；[server/tests/test_wallet_billing_service.py:149](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_wallet_billing_service.py:149)","{""branch"": ""codex/local-main-cost-billing-20260908"", ""commit"": ""e2175cb524f37038b0ce87899b3eca68140f423a"", ""path"": ""server/app/generation_worker.py"", ""line"": 1016, ""why"": ""该分支补付费调用成本账本与 migration 防护；相对 bffc341 同时有大量删除/重编号，不能算基线或整体合并。"", ""not_baseline"": true, ""baseline_equivalent_present"": false}；{""branch"": ""codex/pr3-core-fix-20260908"", ""commit"": ""b5479ca32dff66754af3cfe389602cf3df8e2fa3"", ""path"": ""server/app/generation_worker.py"", ""line"": 84, ""why"": ""该分支把视频拆解每次 Provider 调用独立记成本，尚未整合。"", ""not_baseline"": true, ""baseline_equivalent_present"": false}；{""branch"": ""codex/pr95-hardening-20260908"", ""commit"": ""e06806b142e5366d9f7c3c56ff268fc44998a027"", ""path"": ""server/app/oral.py"", ""line"": 446, ""why"": ""该分支增加口播/克隆幂等防重，尚未整合。"", ""not_baseline"": true, ""baseline_equivalent_present"": false}。"
"CW-030","逐类核验并收敛 Worker 调度和恢复","已有基础，仍有增量","PG Worker 主循环和 H3 客户公平队列、租约回收、并发双领保护已存在；同一 Worker 入口已覆盖多类任务处理函数。","是否新增跨口播完整轮转由 CW-002 决策；A1000/B100/C10 类生产负载归 CW-047。","移除 run_sqlite_worker_round、run_forever、--db-path 与所有正式可达 SQLite Worker 路径；逐类验证口播、图片、分析/文案/ASR、H3/独立的领取、租约、迟到结果、未知提交和计费/成本边界；现有公平性主要锁定 H3 队列，不能推定所有任务类型无饥饿。","代码与测试增量","CW-030","[server/app/generation_worker.py:1583](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/generation_worker.py:1583)；[server/app/generation_worker.py:1635](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/generation_worker.py:1635)；[server/app/generation_worker.py:1681](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/generation_worker.py:1681)；[server/tests/test_customer_queue_fairness.py:322](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_customer_queue_fairness.py:322)","{""branch"": ""codex/pr3-core-fix-20260908"", ""commit"": ""b5479ca32dff66754af3cfe389602cf3df8e2fa3"", ""path"": ""server/app/generation_worker.py"", ""line"": 84, ""why"": ""分析 Provider 成本回写补丁可作为逐类核验参考，未整合。"", ""not_baseline"": true, ""baseline_equivalent_present"": false}；{""branch"": ""codex/pr95-hardening-20260908"", ""commit"": ""e06806b142e5366d9f7c3c56ff268fc44998a027"", ""path"": ""server/app/oral.py"", ""line"": 446, ""why"": ""口播/克隆防重复提交补丁可作为参考，未整合。"", ""not_baseline"": true, ""baseline_equivalent_present"": false}。"
"CW-031","固定云端资产存储与授权下载","已有基础，仍有增量","客户生产 readiness 已要求 active_storage_provider=cos 并做私有 bucket readiness；COS URI 解析、bucket 匹配、签名/授权能力已存在。","旧 local 资产搬迁归 CW-037；真实 COS 凭据链归 CW-050；可重建的本地临时处理中间文件可保留，但不得成为跨进程持久真源。","关闭全部正式服务本地持久存储回退；当前无 COS 时 get_media_storage 仍返回 LocalStorageAdapter；保留历史 local URI 只作为迁移期可追溯输入，禁止新写；补 API A 上传/API B或Worker读取、跨用户/撤销session、签名过期重获、COS故障不落本地的跨实例测试。","代码与测试增量","CW-031","[server/app/storage.py:21](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/storage.py:21)；[server/app/media_routes.py:147](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/media_routes.py:147)；[server/app/media_routes.py:163](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/media_routes.py:163)；[server/app/bootstrap.py:554](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/bootstrap.py:554)","。"
"CW-032","交付可重建的后端服务与安全配置","已有基础，仍有增量","已有客户环境模板、PG 单主机迁移锁、PITR 工具和可按 SHA 构建镜像的 rollout 脚本；构建阶段已检查 ffmpeg/ffprobe、Python 编译和关键模块导入。","真实多实例拓扑、容灾切换归 CW-047/048；真实密钥/Provider/COS 链归 CW-050；历史 operator 工具由 CW-060 独立交付。","rollout 依赖 /opt/video-replica-candidate/compose.yaml 等仓库外主机文件，尚非空白环境可重建的唯一默认包；仓库仍保留 internal P0 systemd 与 SQLite backup 单元，需从正式部署产物排除；补齐应用/迁移/备份角色、全进程连接池预算、首次管理员、健康检查和制品哈希的可执行验收。","代码与测试增量","CW-032","[deploy/customer-git-rollout.sh:22](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/deploy/customer-git-rollout.sh:22)；[deploy/customer-git-rollout.sh:215](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/deploy/customer-git-rollout.sh:215)；[deploy/postgres/migrate.sh:15](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/deploy/postgres/migrate.sh:15)；[server/pyproject.toml:4](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/pyproject.toml:4)","。"
"CW-054","统一 PostgreSQL 查询、行类型与异常契约","已有基础，仍有增量","BusinessConnection 已提供 PG 原生 %s 执行和同时支持名称/位置的 row factory；若干 SQLite-only BEGIN/PRAGMA 被 PG 门面吞掉以维持现有事务边界。","全域业务测试批量映射核销归 CW-058/059，但不能代替本项每调用者修改前的首批 PG 回归；在线 SQLite 实现最终删除归 CW-042。","Postgres executemany 当前完全 no-op；必须定义真实空批/非空批合同；清除 sqlite3.Row/Error 类型与 SQL translator/PRAGMA/BEGIN IMMEDIATE 债务，逐调用者改为 PG 原生异常和数据类型；补金额/布尔/NULL/UTC/JSON、RETURNING/rowcount、唯一/FK/check、导出/trace 实际 PG 结果，逐调用者保留 RED→GREEN。","代码与测试增量","CW-054","[server/app/db_portable.py:228](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/db_portable.py:228)；[server/app/db_portable.py:249](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/db_portable.py:249)；[server/app/db_portable.py:320](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/db_portable.py:320)；[server/app/db_portable.py:350](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/db_portable.py:350)；[server/app/generation.py:917](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/generation.py:917)","。"
"CW-055","锁定 PG 事务、连接池与 fencing 提交边界","已有基础，仍有增量","pg_transaction 已使用连接池事务上下文统一提交/回滚，并校验 isolation allowlist；fenced_pg_transaction 持有最终提交权；BusinessConnection 在 PG 上的 commit/rollback 是刻意 no-op；基线已经包含 statement_timeout、idle_in_transaction_session_timeout 与池卫生参数。","业务域全量映射核销归 CW-058/059；容量基准归 CW-047。","补齐每个已迁调用者修改前 TEST-PG 回归与 RED→GREEN；当前证据不足以证明全调用链均未中途提交；增加池耗尽有界失败、断连、异常事务回收、死锁/serialization/timeout 的 SQLSTATE→幂等恢复矩阵；缺 PG 不得 skip；验证序列值不可回滚这一 PG 事实不会被误断言。","代码与测试增量","CW-055","[server/app/db_pg.py:234](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/db_pg.py:234)；[server/app/db_pg.py:270](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/db_pg.py:270)；[server/app/db_portable.py:320](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/db_portable.py:320)；[server/app/customer_fence.py:205](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/customer_fence.py:205)；[server/tests/test_db_pg.py:450](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_db_pg.py:450)","{""branch"": ""codex/local-main-pg-timeouts-20260908"", ""commit"": ""6a2f579e2c6706062cbcd8cdbed7ec151062c867"", ""path"": ""server/app/db_pg.py"", ""line"": 55, ""why"": ""该分支同类服务端 timeout 配置已在 bffc341 基线出现等价实现，不构成新增完成量。"", ""not_baseline"": true, ""baseline_equivalent_present"": true}。"
"CW-056","验收 PG 空库、旧库升级与最终 schema","已有基础，仍有增量","已有空 PG upgrade→downgrade→re-upgrade 和已发布 040 head→当前 head 的迁移演练；另有从 054 带钱包/生成代表数据升级并验证保持的数据场景。","生产实际停写/升级执行归 CW-051；SQLite→PG 只读导入工具归 CW-034—039/CW-060。","尚未冻结“所有已发且受支持 PG head”矩阵；当前仅覆盖若干起点，不能代表全部客户版本；迁移集成文件缺 PG 时整体 skip；必须改为必需门禁；Alembic env 仍支持默认/SQLite 与 offline SQL；当前 offline 输出不能当可执行升级证据；每个支持 head 需代表数据、完整约束/trigger/JSON/时间语义、identity/serial/ledger 下一写不碰撞和失败状态证据。","代码与测试增量","CW-056","[server/tests/test_postgres_migrations.py:142](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_postgres_migrations.py:142)；[server/tests/test_postgres_migrations.py:452](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_postgres_migrations.py:452)；[server/tests/test_postgres_migrations.py:498](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_postgres_migrations.py:498)；[server/migrations/env.py:35](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/migrations/env.py:35)","{""branch"": ""codex/local-main-cost-billing-20260908"", ""commit"": ""e2175cb524f37038b0ce87899b3eca68140f423a"", ""path"": ""server/migrations/versions/064_operation_cost_rates.py"", ""line"": 42, ""why"": ""该分支含 migration downgrade/账本保护补丁，但 revision 编号链与基线分叉，须按当前 head 重做评估。"", ""not_baseline"": true, ""baseline_equivalent_present"": false}。"
"CW-057","统一维护、种子、管理和对账 CLI 的数据库入口","已有基础，仍有增量","若干当前维护脚本已要求显式 PostgreSQL DSN；PG migrate 与 PITR backup/recovery 工具已存在。","sqlite_to_postgres、reconcile_customer_billing 等一次性历史导入/核对工具保留在 CW-060 隔离制品，不应强改为无 SQLite；实际恢复演练归 CW-048。","gate1_bootstrap、gate1_e2e、app.backup 与 internal backup systemd 仍是 SQLite 当前入口；盘点全部 HTTP 外命令，逐个标 current→PG、historical→CW-060、retire；未知项不得遗漏；当前命令必须拒绝缺/错 DSN 与 SQLite 参数，验证只读不写、写命令审计/幂等、备份目标与日志脱敏。","代码与测试增量","CW-057","[server/app/gate1_bootstrap.py:23](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/gate1_bootstrap.py:23)；[server/app/gate1_e2e.py:469](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/gate1_e2e.py:469)；[server/app/backup.py:377](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/backup.py:377)；[server/scripts/reconcile_dangling_billing_reservations.py:33](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/scripts/reconcile_dangling_billing_reservations.py:33)；[deploy/postgres/pitr-backup.sh:34](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/deploy/postgres/pitr-backup.sh:34)","。"
"CW-033","制作可恢复的数据与资产演练快照","已有实现，待复验","已有SQLite一致快照（停写检查、writer fence、完整性、原件/快照SHA-256、0600）和PG16物理base backup、连续WAL、隔离恢复及100条跨域事实核验工具。","从V3剩余开发中剔除SQLite快照算法、PG PITR脚本和100-fact verifier的重复实现及原SHA合同测试；不能剔除实际数据批次恢复。","只读盘点每个当前PG/历史SQLite/对象批次；对实际PG执行隔离restore并记录版本、head、时间点、LSN/timeline（适用时）；封存SQLite原件并验证hash；核对业务、账务、未完任务和对象清单，登记访问责任人。","复验","CW-033","[server/app/backup.py:164](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/backup.py:164)；[deploy/postgres/pitr-backup.sh:34](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/deploy/postgres/pitr-backup.sh:34)；[deploy/postgres/pitr-restore-drill.sh:34](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/deploy/postgres/pitr-restore-drill.sh:34)；[docs/evidence/T38-EVIDENCE.md:86](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/T38-EVIDENCE.md:86)；[outputs/customer-cloud-convergence-analysis-2026-09-08/客户版收敛工作任务清单.csv:39](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/outputs/customer-cloud-convergence-analysis-2026-09-08/客户版收敛工作任务清单.csv:39)","。"
