前端文件,行号,函数,方法,路径,结果,后端证据
client/src/api.ts,5097,customerApproveDevicePairing,POST,/api/customer/device-pairings/{encodeURIComponent(pairingId)}/approve,匹配,server/app/customer_device_routes.py:1414
client/src/api.ts,5110,customerDismissDevicePairing,DELETE,/api/customer/device-pairings/{encodeURIComponent(pairingId)},匹配,server/app/customer_device_routes.py:1501
client/src/api.ts,5124,customerResetActivationCode,POST,/api/customer/activation-code/reset,匹配,server/app/customer_device_routes.py:1604
client/src/api.ts,5135,customerGetWallet,GET,/api/customer/wallet,匹配,server/app/recharge_routes.py:830
client/src/api.ts,5161,customerGetProfile,GET,/api/customer/profile,匹配,server/app/recharge_routes.py:784
client/src/api.ts,5172,customerUpdateProfile,PATCH,/api/customer/profile,匹配,server/app/recharge_routes.py:791
client/src/api.ts,5187,customerListWalletTransactions,GET,/api/customer/wallet/transactions,匹配,server/app/recharge_routes.py:880
client/src/api.ts,5198,customerListRechargeOrders,GET,/api/customer/recharge-orders,匹配,server/app/recharge_routes.py:935
client/src/api.ts,5212,customerCreateRechargeOrder,POST,/api/customer/recharge-orders,匹配,server/app/recharge_routes.py:325
client/src/api.ts,5234,customerCreateRechargePaymentCode,POST,/api/customer/recharge-orders/{encodeURIComponent(orderNo)}/payment-code,匹配,server/app/recharge_routes.py:619
client/src/api.ts,5247,customerGetRechargeOrder,GET,/api/customer/recharge-orders/{encodeURIComponent(orderNo)},匹配,server/app/recharge_routes.py:534
client/src/api.ts,5260,customerCloseRechargeOrder,DELETE,/api/customer/recharge-orders/{encodeURIComponent(orderNo)},匹配,server/app/recharge_routes.py:568
client/src/api.ts,5329,listViralVideos,GET,/api/viral/videos,匹配,server/app/viral_routes.py:318
client/src/api.ts,5343,fetchViralVideoMedia,POST,/api/viral/videos/media,匹配,server/app/viral_routes.py:377
client/src/api.ts,5360,fetchViralVideoStatistics,POST,/api/viral/videos/statistics,匹配,server/app/viral_routes.py:366
